num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
450,0,120.88,413
450,1,120.992,417
450,2,120.951,419
450,3,120.948,437
450,4,120.896,427
450,5,120.998,417
450,6,120.923,416
450,7,120.91,420
450,8,120.897,423
450,9,120.906,417
450,10,120.891,412
450,11,120.886,413
450,12,120.883,413
450,13,120.912,414
450,14,120.871,412
450,15,120.988,421
450,16,120.93,414
450,17,120.89,414
450,18,120.882,418
450,19,120.947,416
450,20,120.883,415
450,21,120.884,413
450,22,120.918,424
450,23,120.854,418
450,24,120.915,412
450,25,120.89,415
450,26,120.887,413
450,27,120.878,413
450,28,120.889,413
450,29,120.918,415
500,0,124.043,435
500,1,124.024,418
500,2,124.012,420
500,3,123.995,418
500,4,124.041,422
500,5,124.018,417
500,6,124.034,426
500,7,124.025,427
500,8,124.02,432
500,9,124.012,417
500,10,124.006,417
500,11,124.015,422
500,12,124.027,424
500,13,124.031,420
500,14,124.019,416
500,15,124.023,417
500,16,124.004,416
500,17,124.033,430
500,18,124.027,434
500,19,124.06,429
500,20,124.034,417
500,21,124.006,418
500,22,124.053,416
500,23,124.035,417
500,24,124.058,416
500,25,124.029,429
500,26,124.044,434
500,27,124.03,434
500,28,124.04,433
500,29,124.068,435
550,0,112.92,422
550,1,112.947,423
550,2,112.948,423
550,3,112.981,420
550,4,113.073,422
550,5,112.946,424
550,6,112.985,420
550,7,113.017,425
550,8,113.004,425
550,9,112.946,426
550,10,112.924,422
550,11,112.992,422
550,12,113.077,424
550,13,113.106,420
550,14,113.071,410
550,15,112.954,409
550,16,113.01,405
550,17,112.936,418
550,18,112.895,408
550,19,112.927,420
550,20,112.998,407
550,21,113.019,428
550,22,112.972,420
550,23,112.965,426
550,24,113.005,413
550,25,112.964,425
550,26,113.038,416
550,27,112.964,430
550,28,113.003,414
550,29,113.063,411
600,0,115.99,419
600,1,115.984,414
600,2,115.967,409
600,3,115.956,409
600,4,115.966,409
600,5,115.941,410
600,6,115.975,412
600,7,115.965,409
600,8,116,413
600,9,115.963,413
600,10,115.987,416
600,11,115.961,408
600,12,115.971,412
600,13,115.968,410
600,14,116.005,407
600,15,115.972,415
600,16,115.969,409
600,17,115.993,413
600,18,115.972,408
600,19,115.969,410
600,20,115.958,414
600,21,115.981,408
600,22,115.981,414
600,23,115.97,409
600,24,115.979,409
600,25,115.965,409
600,26,115.99,409
600,27,115.973,415
600,28,115.972,411
600,29,115.958,410
650,0,130.958,424
650,1,130.822,426
650,2,130.493,422
650,3,130.786,422
650,4,130.763,426
650,5,130.59,444
650,6,130.802,426
650,7,130.5,424
650,8,130.676,442
650,9,130.775,423
650,10,130.829,424
650,11,130.769,429
650,12,130.808,425
650,13,130.757,429
650,14,130.651,428
650,15,130.723,424
650,16,130.741,422
650,17,130.562,421
650,18,130.473,426
650,19,130.569,427
650,20,130.535,426
650,21,130.774,429
650,22,130.578,424
650,23,130.593,426
650,24,130.395,424
650,25,130.59,441
650,26,130.784,424
650,27,130.743,424
650,28,130.813,424
650,29,130.666,426
700,0,121.677,418
700,1,121.563,415
700,2,121.643,420
700,3,121.537,459
700,4,121.75,415
700,5,121.888,418
700,6,121.531,418
700,7,121.557,418
700,8,121.521,413
700,9,121.934,414
700,10,121.646,419
700,11,121.876,415
700,12,121.711,418
700,13,121.878,435
700,14,121.563,422
700,15,121.516,416
700,16,121.805,419
700,17,121.675,415
700,18,121.521,416
700,19,121.527,415
700,20,121.52,420
700,21,121.915,418
700,22,121.74,418
700,23,121.581,414
700,24,121.49,415
700,25,121.502,414
700,26,121.892,419
700,27,121.926,414
700,28,121.524,420
700,29,122.073,414
750,0,120.094,418
750,1,120.125,412
750,2,120.294,418
750,3,120.126,414
750,4,120.053,412
750,5,120.18,416
750,6,120.103,413
750,7,120.196,413
750,8,120.095,413
750,9,120.12,415
750,10,120,417
750,11,120.104,412
750,12,120.037,421
750,13,120.171,413
750,14,120.08,414
750,15,120.088,419
750,16,120.108,414
750,17,120.203,413
750,18,120.129,413
750,19,120.27,423
750,20,120.04,413
750,21,120.156,426
750,22,119.986,417
750,23,120.052,417
750,24,120.134,415
750,25,120.121,423
750,26,120.306,415
750,27,120.146,414
750,28,120.125,432
750,29,120.106,417
800,0,112.739,408
800,1,112.638,414
800,2,112.66,412
800,3,112.793,421
800,4,112.636,405
800,5,112.8,427
800,6,112.684,413
800,7,112.717,421
800,8,112.636,428
800,9,112.661,424
800,10,112.692,407
800,11,112.796,407
800,12,112.641,405
800,13,112.815,407
800,14,112.656,408
800,15,112.793,408
800,16,112.624,410
800,17,112.671,404
800,18,112.764,407
800,19,112.663,405
800,20,112.812,407
800,21,112.796,405
800,22,112.674,407
800,23,112.748,419
800,24,112.642,411
800,25,112.666,409
800,26,112.794,406
800,27,112.683,422
800,28,112.838,408
800,29,112.66,412
850,0,112.299,407
850,1,112.332,412
850,2,112.311,405
850,3,112.338,405
850,4,112.329,409
850,5,112.311,405
850,6,112.344,408
850,7,112.332,406
850,8,112.311,413
850,9,112.323,409
850,10,112.319,412
850,11,112.326,443
850,12,112.316,408
850,13,112.321,414
850,14,112.315,405
850,15,112.299,415
850,16,112.311,405
850,17,112.336,420
850,18,112.311,409
850,19,112.3,409
850,20,112.346,410
850,21,112.32,414
850,22,112.329,410
850,23,112.326,404
850,24,112.335,407
850,25,112.325,407
850,26,112.317,406
850,27,112.333,415
850,28,112.329,411
850,29,112.336,406
900,0,114.227,411
900,1,114.214,411
900,2,114.223,411
900,3,114.373,411
900,4,114.232,423
900,5,114.243,408
900,6,114.25,412
900,7,114.281,413
900,8,114.272,411
900,9,114.306,421
900,10,114.231,410
900,11,114.271,410
900,12,114.399,414
900,13,114.25,427
900,14,114.277,421
900,15,114.287,421
900,16,114.226,412
900,17,114.296,409
900,18,114.234,424
900,19,114.247,422
900,20,114.235,427
900,21,114.233,424
900,22,114.249,425
900,23,114.226,423
900,24,114.316,422
900,25,114.273,424
900,26,114.222,420
900,27,114.216,425
900,28,114.23,424
900,29,114.242,420
950,0,108.346,403
950,1,108.26,409
950,2,108.282,405
950,3,108.28,402
950,4,108.254,420
950,5,108.268,420
950,6,108.329,402
950,7,108.279,415
950,8,108.244,400
950,9,108.304,407
950,10,108.294,402
950,11,108.274,407
950,12,108.319,404
950,13,108.329,403
950,14,108.278,403
950,15,108.277,402
950,16,108.289,408
950,17,108.266,405
950,18,108.279,419
950,19,108.328,417
950,20,108.333,410
950,21,108.254,415
950,22,108.247,421
950,23,108.288,404
950,24,108.264,421
950,25,108.27,425
950,26,108.244,405
950,27,108.317,418
950,28,108.316,413
950,29,108.263,409
1000,0,110.875,409
1000,1,110.774,410
1000,2,110.785,410
1000,3,110.871,404
1000,4,110.809,403
1000,5,110.793,406
1000,6,110.839,418
1000,7,110.845,409
1000,8,110.901,405
1000,9,110.789,411
1000,10,110.778,403
1000,11,110.776,407
1000,12,110.829,406
1000,13,110.817,418
1000,14,110.828,410
1000,15,110.804,406
1000,16,110.791,412
1000,17,110.806,405
1000,18,110.823,411
1000,19,110.803,402
1000,20,110.788,403
1000,21,110.807,405
1000,22,110.889,420
1000,23,110.91,408
1000,24,110.82,403
1000,25,110.774,406
1000,26,110.818,404
1000,27,110.789,419
1000,28,110.852,408
1000,29,110.79,408
