num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
1,0,6042.55,6336
1,1,6042.56,6350
1,2,6042.55,6334
1,3,6042.55,6334
1,4,6042.56,6339
1,5,6042.55,6336
1,6,6042.56,6355
1,7,6042.56,6359
1,8,6042.55,6340
1,9,6042.57,6340
1,10,6042.56,6340
1,11,6042.55,6343
1,12,6042.55,6335
1,13,6042.56,6346
1,14,6042.55,6337
1,15,6042.55,6342
1,16,6042.55,6337
1,17,6042.56,6354
1,18,6042.58,6364
1,19,6042.56,6340
1,20,6042.56,6337
1,21,6042.55,6341
1,22,6042.55,6343
1,23,6042.55,6340
1,24,6042.56,6337
1,25,6042.56,6359
1,26,6042.56,6340
1,27,6042.55,6335
1,28,6042.55,6340
1,29,6042.55,6336
50,0,125.327,420
50,1,125.327,417
50,2,125.338,432
50,3,125.324,419
50,4,125.326,417
50,5,125.328,422
50,6,125.325,417
50,7,125.325,416
50,8,124.963,416
50,9,125.33,434
50,10,125.324,418
50,11,125.323,418
50,12,124.963,420
50,13,125.327,420
50,14,125.323,417
50,15,125.334,429
50,16,125.326,421
50,17,124.972,433
50,18,125.35,415
50,19,125.325,418
50,20,125.327,417
50,21,125.338,437
50,22,125.339,433
50,23,125.339,432
50,24,125.333,427
50,25,125.327,418
50,26,125.324,416
50,27,125.331,425
50,28,125.325,420
50,29,124.96,419
100,0,69.8224,369
100,1,69.4333,365
100,2,69.449,365
100,3,69.4397,365
100,4,69.4336,363
100,5,68.9743,360
100,6,69.8226,366
100,7,69.5398,364
100,8,69.4506,366
100,9,68.9524,366
100,10,68.9932,365
100,11,69.4374,366
100,12,69.8231,365
100,13,68.9865,364
100,14,69.4372,368
100,15,68.98,364
100,16,69.825,367
100,17,69.4372,366
100,18,68.9793,365
100,19,68.977,365
100,20,68.9901,379
100,21,68.9781,361
100,22,69.8675,369
100,23,69.4365,367
100,24,69.4392,364
100,25,69.845,362
100,26,69.45,365
100,27,69.4369,362
100,28,69.869,376
100,29,69.4395,363
150,0,47.1668,347
150,1,46.7655,340
150,2,47.2672,341
150,3,47.1818,341
150,4,47.1577,342
150,5,46.7549,341
150,6,46.8918,341
150,7,46.8976,338
150,8,46.9538,342
150,9,47.022,338
150,10,46.8502,347
150,11,46.9027,338
150,12,46.9159,348
150,13,46.7577,338
150,14,47.2059,351
150,15,46.9861,339
150,16,47.0735,346
150,17,47.1791,341
150,18,47.2558,341
150,19,47.2769,340
150,20,47.1076,342
150,21,47.2651,344
150,22,47.1755,343
150,23,47.1922,344
150,24,47.0322,358
150,25,47.1918,341
150,26,47.033,345
150,27,46.877,345
150,28,46.8589,343
150,29,47.2252,339
200,0,38.0619,333
200,1,38.0359,330
200,2,38.0412,345
200,3,38.0495,328
200,4,38.043,329
200,5,38.0757,329
200,6,38.0848,355
200,7,38.0778,345
200,8,38.0472,332
200,9,38.0604,337
200,10,38.083,350
200,11,38.0623,350
200,12,38.0694,347
200,13,38.0704,350
200,14,38.0723,348
200,15,38.0546,335
200,16,38.0539,348
200,17,38.055,348
200,18,38.0668,340
200,19,38.0399,334
200,20,38.0705,352
200,21,38.0394,334
200,22,38.0583,350
200,23,38.0606,333
200,24,38.0488,335
200,25,38.0564,333
200,26,38.0646,330
200,27,38.0639,349
200,28,38.1056,350
200,29,38.0442,334
250,0,36.4756,331
250,1,36.4885,354
250,2,36.5107,346
250,3,36.4647,334
250,4,36.4762,347
250,5,36.4885,355
250,6,36.4859,333
250,7,36.4982,350
250,8,36.4958,332
250,9,36.5021,352
250,10,36.5023,342
250,11,36.4676,328
250,12,36.4858,330
250,13,36.4794,330
250,14,36.4754,338
250,15,36.4725,334
250,16,36.4802,332
250,17,36.4963,333
250,18,36.4828,329
250,19,36.4549,333
250,20,36.5033,335
250,21,36.5058,337
250,22,36.4916,334
250,23,36.4735,330
250,24,36.5009,332
250,25,36.482,331
250,26,36.4992,334
250,27,36.469,332
250,28,36.5047,329
250,29,36.4716,338
300,0,30.4122,322
300,1,30.4171,324
300,2,30.4135,324
300,3,30.4028,324
300,4,30.4078,322
300,5,30.4231,332
300,6,30.4188,325
300,7,30.4449,324
300,8,30.4182,322
300,9,30.4128,322
300,10,30.398,324
300,11,30.4176,325
300,12,30.41,323
300,13,30.4197,323
300,14,30.4133,321
300,15,30.4181,340
300,16,30.4,322
300,17,30.4093,321
300,18,30.412,327
300,19,30.4041,327
300,20,30.418,326
300,21,30.4059,325
300,22,30.4244,332
300,23,30.402,326
300,24,30.4262,331
300,25,30.4123,324
300,26,30.4187,328
300,27,30.4276,325
300,28,30.4088,324
300,29,30.4008,322
350,0,31.1036,333
350,1,31.0733,330
350,2,31.0624,326
350,3,31.0987,340
350,4,31.0984,332
350,5,31.0628,326
350,6,31.0838,324
350,7,31.0759,327
350,8,31.0883,326
350,9,31.1064,382
350,10,31.0801,324
350,11,31.0877,346
350,12,31.0923,344
350,13,31.074,328
350,14,31.0836,330
350,15,31.1042,343
350,16,31.0834,325
350,17,31.0617,327
350,18,31.0688,324
350,19,31.0819,329
350,20,31.1027,344
350,21,31.0882,341
350,22,31.1024,343
350,23,31.1045,340
350,24,31.08,341
350,25,31.093,325
350,26,31.0978,339
350,27,31.0837,324
350,28,31.0726,328
350,29,31.0791,325
400,0,27.1662,319
400,1,27.1733,323
400,2,27.1868,322
400,3,27.1555,321
400,4,27.1581,320
400,5,27.1728,324
400,6,27.1807,335
400,7,27.1404,324
400,8,27.1875,324
400,9,27.1677,319
400,10,27.1739,319
400,11,27.1422,321
400,12,27.1632,320
400,13,27.1779,320
400,14,27.1551,321
400,15,27.1665,330
400,16,27.1543,324
400,17,27.146,327
400,18,27.1756,340
400,19,27.1786,322
400,20,27.1454,320
400,21,27.1546,329
400,22,27.1759,336
400,23,27.1455,321
400,24,27.1694,336
400,25,27.162,322
400,26,27.1926,322
400,27,27.1728,337
400,28,27.1718,324
400,29,27.1425,322
450,0,28.1984,327
450,1,28.2016,324
450,2,28.1998,321
450,3,28.1884,324
450,4,28.1983,322
450,5,28.2107,327
450,6,28.1971,323
450,7,28.1846,318
450,8,28.1932,321
450,9,28.1968,319
450,10,28.1851,318
450,11,28.1902,325
450,12,28.2031,326
450,13,28.2033,320
450,14,28.2036,323
450,15,28.1995,323
450,16,28.2039,335
450,17,28.1914,321
450,18,28.1977,324
450,19,28.1971,320
450,20,28.2032,341
450,21,28.1933,325
450,22,28.1918,321
450,23,28.199,324
450,24,28.2223,328
450,25,28.203,320
450,26,28.1964,326
450,27,28.2036,322
450,28,28.1931,323
