num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
25600,20,828.631,1140
25600,21,828.634,1166
25600,22,828.655,1142
25600,23,828.618,1139
25600,24,828.582,1126
25600,25,828.651,1155
25600,26,828.616,1122
25600,27,828.632,1130
25600,28,828.651,1131
25600,29,828.612,1127
28800,0,828.164,1124
28800,1,828.177,1125
28800,2,828.15,1137
28800,3,828.163,1126
28800,4,828.145,1122
28800,5,828.274,1145
28800,6,828.148,1144
28800,7,828.19,1163
28800,8,828.13,1129
28800,9,828.15,1123
28800,10,828.214,1124
28800,11,828.194,1125
28800,12,828.149,1129
28800,13,828.134,1126
28800,14,828.176,1144
28800,15,828.171,1147
28800,16,828.167,1122
28800,17,828.177,1123
28800,18,828.181,1125
28800,19,828.143,1167
28800,20,828.164,1133
28800,21,828.149,1127
28800,22,828.148,1129
28800,23,828.201,1141
28800,24,828.133,1128
28800,25,828.158,1146
28800,26,828.166,1126
28800,27,828.158,1138
28800,28,828.165,1126
28800,29,828.168,1121
32000,0,827.755,1129
32000,1,827.77,1158
32000,2,827.745,1125
32000,3,827.778,1121
32000,4,827.751,1120
32000,5,827.733,1126
32000,6,827.769,1121
32000,7,827.728,1126
32000,8,827.731,1120
32000,9,827.781,1125
32000,10,827.769,1128
32000,11,827.773,1126
32000,12,827.792,1138
32000,13,827.735,1123
32000,14,827.78,1125
32000,15,827.81,1119
32000,16,827.77,1125
32000,17,827.745,1126
32000,18,827.734,1121
32000,19,827.763,1124
32000,20,827.722,1121
32000,21,827.722,1120
32000,22,827.763,1121
32000,23,827.778,1130
32000,24,827.795,1128
32000,25,827.733,1122
32000,26,827.81,1125
32000,27,827.766,1121
32000,28,827.729,1120
32000,29,827.764,1121
35200,0,827.464,1126
35200,1,827.449,1119
35200,2,827.431,1120
35200,3,827.48,1144
35200,4,827.429,1122
35200,5,827.436,1121
35200,6,827.47,1148
35200,7,827.473,1127
35200,8,827.517,1147
35200,9,827.487,1125
35200,10,827.458,1123
35200,11,827.452,1122
35200,12,827.476,1121
35200,13,827.44,1123
35200,14,827.425,1132
35200,15,827.467,1143
35200,16,827.463,1140
35200,17,827.433,1125
35200,18,827.453,1137
35200,19,827.458,1151
35200,20,827.447,1125
35200,21,827.503,1135
35200,22,827.44,1121
35200,23,827.453,1140
35200,24,827.472,1138
35200,25,827.504,1144
35200,26,827.424,1123
35200,27,827.483,1152
35200,28,827.48,1142
35200,29,827.481,1124
38400,0,827.177,1147
38400,1,827.182,1140
38400,2,827.137,1136
38400,3,827.134,1138
38400,4,827.134,1139
38400,5,827.176,1140
38400,6,827.158,1137
38400,7,827.222,1140
38400,8,827.144,1141
38400,9,827.22,1145
38400,10,827.148,1149
38400,11,827.148,1141
38400,12,827.133,1122
38400,13,827.132,1121
38400,14,827.142,1137
38400,15,827.154,1135
38400,16,827.133,1124
38400,17,827.121,1146
38400,18,827.155,1142
38400,19,827.135,1119
38400,20,827.139,1129
38400,21,827.136,1126
38400,22,827.13,1124
38400,23,827.15,1129
38400,24,827.165,1132
38400,25,827.137,1137
38400,26,827.116,1128
38400,27,827.149,1141
38400,28,827.124,1124
38400,29,827.12,1149
41600,0,826.942,1128
41600,1,826.944,1120
41600,2,826.937,1127
41600,3,826.943,1128
41600,4,826.94,1127
41600,5,826.938,1123
41600,6,826.928,1126
41600,7,826.964,1144
41600,8,826.984,1128
41600,9,826.937,1126
41600,10,826.923,1127
41600,11,826.969,1129
41600,12,826.913,1127
41600,13,826.933,1127
41600,14,826.941,1125
41600,15,826.937,1125
41600,16,826.959,1123
41600,17,826.99,1125
41600,18,826.931,1125
41600,19,826.95,1137
41600,20,826.938,1127
41600,21,826.971,1127
41600,22,826.935,1124
41600,23,826.933,1138
41600,24,826.963,1141
41600,25,826.975,1137
41600,26,826.965,1137
41600,27,826.977,1144
41600,28,826.941,1126
41600,29,826.978,1134
44800,0,826.751,1122
44800,1,826.8,1140
44800,2,826.779,1122
44800,3,826.748,1125
44800,4,826.772,1124
44800,5,826.749,1130
44800,6,826.747,1126
44800,7,826.752,1123
44800,8,826.742,1130
44800,9,826.74,1125
44800,10,826.752,1125
44800,11,826.782,1123
44800,12,826.789,1126
44800,13,826.797,1124
44800,14,826.792,1122
44800,15,826.737,1126
44800,16,826.765,1123
44800,17,826.753,1123
44800,18,826.743,1120
44800,19,826.768,1150
44800,20,826.744,1125
44800,21,826.763,1122
44800,22,826.759,1129
44800,23,826.757,1139
44800,24,826.753,1125
44800,25,826.764,1140
44800,26,826.749,1141
44800,27,826.716,1138
44800,28,826.744,1127
44800,29,826.756,1138
48000,0,826.593,1127
48000,1,826.57,1126
48000,2,826.564,1142
48000,3,826.576,1137
48000,4,826.608,1142
48000,5,826.591,1139
48000,6,826.601,1143
48000,7,826.579,1136
48000,8,826.57,1122
48000,9,826.593,1143
48000,10,826.585,1121
48000,11,826.588,1123
48000,12,826.575,1128
48000,13,826.591,1138
48000,14,826.619,1140
48000,15,826.636,1125
48000,16,826.569,1126
48000,17,826.561,1120
48000,18,826.59,1124
48000,19,826.565,1141
48000,20,826.593,1122
48000,21,826.599,1121
48000,22,826.574,1122
48000,23,826.609,1125
48000,24,826.605,1157
48000,25,826.585,1141
48000,26,826.571,1143
48000,27,826.567,1142
48000,28,826.581,1135
48000,29,826.59,1129
51200,0,826.465,1142
51200,1,826.463,1129
51200,2,826.445,1122
51200,3,826.448,1138
51200,4,826.42,1125
51200,5,826.494,1139
51200,6,826.484,1143
51200,7,826.462,1135
51200,8,826.454,1130
51200,9,826.487,1130
51200,10,826.468,1126
51200,11,826.438,1124
51200,12,826.446,1120
51200,13,826.436,1123
51200,14,826.453,1126
51200,15,826.493,1125
51200,16,826.446,1129
51200,17,826.46,1123
51200,18,826.462,1120
51200,19,826.448,1119
51200,20,826.45,1120
